Employee_ID,Name,Gender,Age,City,Department,Salary,Joining_Date,Experience_Years,Performance_Rating,Bonus,Tax,Net_Salary,Experience_Bonus,Gross_Pay
40,Anjali,Female,47,Delhi,HR,86747,27-12-2023,19,3,8675,4337,91085,4337,99759
41,Vijay,Female,45,Delhi,HR,85839,16-06-2022,11,5,8584,4292,90131,4292,98715
42,Vijay,Female,53,Delhi,Sales,33620,28-01-2022,5,1,3362,1681,35301,0,36982
43,Arun,Female,24,Hyderabad,Support,29461,08-12-2023,19,3,2946,1473,30934,1473,33880
44,Karthik,Female,47,Delhi,IT,74866,21-08-2023,4,2,7487,3743,78610,0,82353
45,Divya,Female,49,Bangalore,Finance,30821,08-12-2022,9,3,3082,1541,32362,1541,35444
46,Suresh,Male,34,Bangalore,Finance,28522,04-11-2023,7,4,2852,1426,29948,1426,32800
47,Suresh,Female,22,Bangalore,Support,99661,17-08-2023,20,3,9966,4983,104644,4983,114610
48,Vijay,Female,56,Bangalore,Support,33506,01-03-2023,12,3,3351,1675,35182,1675,38532
49,Rahul,Female,40,Bangalore,IT,41428,14-04-2024,19,4,4143,2071,43500,2071,47642
50,Rahul,Female,53,Bangalore,IT,70257,13-10-2023,19,1,7026,3513,73770,3513,80796
51,Rahul,Male,42,Delhi,Support,57383,23-09-2023,18,2,5738,2869,60252,2869,65990
52,Suresh,Female,47,Chennai,HR,80543,31-10-2023,20,2,8054,4027,84570,4027,92624
53,Rahul,Male,28,Delhi,Finance,78631,24-04-2023,17,3,7863,3932,82562,3932,90426
54,Divya,Male,35,Chennai,Sales,25787,14-08-2022,4,1,2579,1289,27077,0,28366
55,Divya,Male,51,Delhi,Sales,67733,07-05-2023,13,4,6773,3387,71119,3387,77893
56,Karthik,Female,43,Bangalore,Finance,91789,31-12-2023,15,5,9179,4589,96379,4589,105557
57,Divya,Male,34,Hyderabad,Finance,75705,01-06-2022,18,2,7570,3785,79490,3785,87060
58,Rahul,Male,54,Bangalore,Finance,48869,06-03-2024,3,4,4887,2443,51313,0,53756
59,Divya,Female,54,Mumbai,IT,53572,12-03-2022,6,5,5357,2679,56250,2679,61608
60,Arun,Female,47,Hyderabad,Sales,81225,21-11-2023,18,1,8122,4061,85286,4061,93408
61,Divya,Male,33,Mumbai,Sales,53157,26-01-2022,9,5,5316,2658,55815,2658,61131
62,Priya,Female,40,Delhi,Sales,90753,20-06-2022,17,4,9075,4538,95290,4538,104366
63,Rahul,Male,60,Delhi,IT,27169,22-07-2022,9,5,2717,1358,28528,1358,31244
64,Meena,Male,55,Hyderabad,HR,43815,13-06-2023,19,1,4382,2191,46006,2191,50388
65,Meena,Male,57,Mumbai,Finance,60366,27-02-2023,18,5,6037,3018,63385,3018,69421
66,Arun,Male,49,Bangalore,HR,24342,14-05-2022,18,2,2434,1217,25559,1217,27993
67,Karthik,Female,41,Mumbai,Sales,36297,20-02-2024,16,1,3630,1815,38112,1815,41742
68,Vijay,Female,57,Hyderabad,IT,48221,07-06-2023,7,4,4822,2411,50632,2411,55454
69,Suresh,Male,44,Hyderabad,IT,35639,30-04-2024,14,3,3564,1782,37421,1782,40985
70,Arun,Male,59,Mumbai,HR,70038,17-10-2023,14,2,7004,3502,73540,3502,80544
71,Priya,Female,23,Mumbai,HR,27460,19-07-2023,16,3,2746,1373,28833,1373,31579
72,Divya,Female,41,Delhi,Sales,24011,04-11-2022,19,2,2401,1201,25211,1201,27613
73,Priya,Female,44,Mumbai,Finance,67601,30-08-2022,6,4,6760,3380,70981,3380,77741
74,Suresh,Female,47,Mumbai,Sales,46886,10-08-2023,16,1,4689,2344,49231,2344,53919
75,Suresh,Male,46,Delhi,Finance,77394,03-08-2023,6,3,7739,3870,81263,3870,89003
76,Anjali,Male,59,Delhi,HR,40540,29-03-2022,20,1,4054,2027,42567,2027,46621
77,Priya,Male,44,Mumbai,HR,45206,25-01-2024,1,4,4521,2260,47467,0,49727
78,Priya,Male,29,Chennai,IT,25478,28-01-2024,1,4,2548,1274,26752,0,28026
79,Vijay,Female,32,Delhi,Sales,50637,07-05-2024,7,1,5064,2532,53169,2532,58233
80,Meena,Female,60,Bangalore,HR,92618,27-03-2023,12,4,9262,4631,97249,4631,106511
81,Arun,Female,26,Chennai,HR,78936,06-02-2022,14,5,7894,3947,82883,3947,90777
82,Meena,Female,25,Delhi,Finance,73314,07-04-2023,20,5,7331,3666,76979,3666,84311
83,Divya,Female,27,Mumbai,IT,35799,13-03-2023,9,2,3580,1790,37589,1790,41169
84,Meena,Male,37,Chennai,Sales,23329,04-08-2023,2,2,2333,1166,24496,0,25662
85,Meena,Female,53,Delhi,IT,84446,20-07-2023,14,4,8445,4222,88669,4222,97113
86,Vijay,Male,52,Hyderabad,IT,86876,10-03-2022,17,5,8688,4344,91220,4344,99908
87,Anjali,Male,44,Delhi,IT,40441,06-01-2022,10,2,4044,2022,42463,2022,46507
88,Anjali,Male,48,Chennai,Sales,27813,22-08-2022,3,1,2781,1391,29203,0,30594
89,Meena,Male,25,Hyderabad,Finance,22035,17-09-2023,13,1,2204,1102,23137,1102,25341
90,Arun,Female,46,Mumbai,Finance,21287,28-10-2023,6,2,2129,1064,22352,1064,24480
91,Vijay,Female,43,Mumbai,IT,81255,12-03-2023,3,3,8126,4063,85318,0,89381
92,Priya,Female,34,Chennai,Sales,49475,11-01-2024,2,1,4948,2474,51949,0,54423
93,Meena,Male,34,Delhi,Sales,95256,24-06-2022,14,5,9526,4763,100019,4763,109545
94,Priya,Female,58,Bangalore,Sales,23180,12-12-2023,18,3,2318,1159,24339,1159,26657
95,Priya,Male,27,Delhi,Finance,70731,09-12-2022,17,2,7073,3537,74267,3537,81341
96,Meena,Female,49,Bangalore,IT,47146,21-03-2024,13,2,4715,2357,49504,2357,54218
97,Arun,Male,56,Chennai,Finance,23261,23-09-2022,10,1,2326,1163,24424,1163,26750
98,Rahul,Male,35,Delhi,Support,79202,10-06-2023,4,2,7920,3960,83162,0,87122
99,Sneha,Female,35,Delhi,Support,57985,30-12-2022,13,1,5798,2899,60884,2899,66682
100,Vijay,Male,60,Delhi,Sales,35147,01-12-2022,16,5,3515,1757,36905,1757,40419
101,Anjali,Female,27,Hyderabad,Support,76911,10-04-2024,4,1,7691,3846,80756,0,84602
102,Vijay,Female,28,Chennai,HR,32096,28-01-2023,18,1,3210,1605,33701,1605,36911
103,Sneha,Female,36,Bangalore,Support,39958,24-08-2023,11,4,3996,1998,41956,1998,45952
104,Vijay,Female,60,Mumbai,Finance,74860,16-03-2023,4,4,7486,3743,78603,0,82346
105,Divya,Female,44,Bangalore,Support,90439,26-09-2022,17,3,9044,4522,94961,4522,104005
106,Sneha,Male,56,Bangalore,IT,56738,06-03-2023,3,1,5674,2837,59575,0,62412
107,Rahul,Female,30,Bangalore,Support,56658,21-07-2023,13,4,5666,2833,59491,2833,65157
108,Suresh,Female,34,Mumbai,Finance,86273,25-11-2022,8,3,8627,4314,90586,4314,99214
109,Vijay,Female,31,Delhi,Sales,27499,29-08-2023,13,1,2750,1375,28874,1375,31624
110,Vijay,Male,27,Bangalore,IT,36252,14-04-2023,1,2,3625,1813,38064,0,39877
111,Sneha,Female,26,Mumbai,IT,82014,12-10-2023,18,2,8201,4101,86114,4101,94316
112,Vijay,Female,59,Mumbai,HR,59048,13-02-2024,2,4,5905,2952,62001,0,64953
113,Rahul,Female,22,Chennai,Support,41360,07-03-2022,5,2,4136,2068,43428,0,45496
114,Anjali,Female,48,Chennai,HR,85137,24-02-2022,8,2,8514,4257,89394,4257,97908
115,Karthik,Female,39,Chennai,Sales,58351,27-06-2024,18,4,5835,2918,61268,2918,67104
116,Meena,Female,38,Delhi,Support,20592,29-09-2022,18,1,2059,1030,21621,1030,23681
117,Rahul,Male,53,Delhi,Finance,76316,26-02-2024,12,5,7632,3816,80132,3816,87764
118,Anjali,Male,42,Bangalore,IT,78065,19-07-2022,2,5,7806,3903,81968,0,85871
119,Meena,Female,22,Chennai,HR,30581,08-01-2023,14,2,3058,1529,32110,1529,35168
120,Rahul,Male,51,Bangalore,HR,92396,06-07-2024,2,4,9240,4620,97016,0,101636
121,Rahul,Female,31,Mumbai,Finance,98347,18-04-2023,8,5,9835,4917,103265,4917,113099
122,Meena,Male,57,Mumbai,IT,53883,01-09-2023,17,3,5388,2694,56577,2694,61965
123,Priya,Male,57,Delhi,HR,52260,16-12-2023,4,1,5226,2613,54873,0,57486
124,Rahul,Male,52,Hyderabad,Sales,49464,30-05-2023,15,5,4946,2473,51937,2473,56883
125,Divya,Female,35,Bangalore,IT,92514,25-04-2024,4,1,9251,4626,97139,0,101765
126,Rahul,Male,40,Delhi,IT,75156,16-03-2024,12,5,7516,3758,78914,3758,86430
127,Divya,Female,40,Hyderabad,HR,24523,19-05-2024,16,1,2452,1226,25749,1226,28201
128,Priya,Female,29,Hyderabad,IT,58868,29-10-2023,17,5,5887,2943,61812,2943,67698
129,Rahul,Female,39,Delhi,Finance,23647,12-06-2023,1,5,2365,1182,24830,0,26012
130,Priya,Male,36,Bangalore,Finance,48071,23-04-2023,6,2,4807,2404,50474,2404,55282
131,Vijay,Male,56,Bangalore,IT,38983,11-11-2022,10,5,3898,1949,40932,1949,44830
132,Rahul,Female,49,Chennai,Finance,48324,27-02-2023,16,3,4832,2416,50740,2416,55572
133,Vijay,Male,24,Mumbai,HR,82301,14-04-2023,4,1,8230,4115,86416,0,90531
134,Divya,Female,35,Delhi,Finance,41760,22-10-2022,9,3,4176,2088,43848,2088,48024
135,Arun,Male,44,Bangalore,IT,69776,24-06-2024,5,5,6978,3489,73265,0,76754
136,Arun,Male,60,Chennai,IT,54774,17-07-2023,6,2,5477,2739,57512,2739,62990
137,Divya,Female,46,Hyderabad,Sales,24255,02-06-2022,9,1,2426,1213,25468,1213,27894
138,Vijay,Female,34,Mumbai,Sales,77612,23-03-2023,17,4,7761,3881,81492,3881,89254
139,Priya,Female,50,Mumbai,IT,55565,22-12-2023,11,3,5556,2778,58343,2778,63899
140,Priya,Female,34,Hyderabad,HR,22029,05-06-2024,19,4,2203,1101,23131,1101,25333
141,Priya,Female,38,Bangalore,Support,70911,11-02-2024,4,2,7091,3546,74456,0,78002
142,Sneha,Female,54,Mumbai,Support,90673,26-06-2024,18,4,9067,4534,95206,4534,104274
143,Priya,Female,22,Chennai,HR,44554,21-10-2022,16,5,4455,2228,46781,2228,51237
144,Meena,Female,49,Delhi,Sales,37431,18-01-2022,1,4,3743,1872,39302,0,41174
145,Meena,Female,60,Bangalore,Support,43985,28-01-2022,13,1,4398,2199,46184,2199,50582
146,Divya,Male,24,Chennai,HR,67768,29-12-2023,17,5,6777,3388,71157,3388,77933
147,Sneha,Male,38,Delhi,Finance,31685,22-02-2024,12,1,3168,1584,33269,1584,36437
148,Suresh,Male,26,Delhi,Sales,73803,24-09-2023,5,5,7380,3690,77493,0,81183
149,Suresh,Female,24,Delhi,IT,78224,16-08-2023,6,2,7822,3911,82135,3911,89957
150,Vijay,Female,34,Chennai,Finance,92680,14-03-2024,4,2,9268,4634,97314,0,101948
151,Vijay,Female,55,Chennai,Sales,84233,29-10-2023,13,4,8423,4212,88444,4212,96868
152,Priya,Male,26,Chennai,IT,55216,14-09-2022,4,4,5522,2761,57977,0,60738
153,Vijay,Male,33,Mumbai,Support,34706,23-04-2023,17,5,3471,1735,36442,1735,39912
154,Divya,Female,40,Mumbai,IT,34394,14-12-2023,18,3,3439,1720,36113,1720,39553
155,Priya,Male,60,Mumbai,IT,47641,06-06-2022,12,3,4764,2382,50023,2382,54787
156,Arun,Female,35,Mumbai,Finance,89853,05-04-2023,19,5,8985,4493,94345,4493,103331
157,Vijay,Male,23,Chennai,Sales,31373,21-09-2023,16,2,3137,1569,32941,1569,36079
158,Rahul,Female,48,Hyderabad,HR,77101,23-06-2023,12,5,7710,3855,80956,3855,88666
159,Suresh,Female,29,Delhi,Support,39892,14-03-2022,17,4,3989,1995,41886,1995,45876
160,Arun,Male,56,Bangalore,IT,79910,11-05-2024,5,3,7991,3996,83905,0,87901
161,Arun,Female,40,Bangalore,HR,22403,02-10-2023,8,5,2240,1120,23523,1120,25763
162,Rahul,Female,51,Hyderabad,HR,53631,16-02-2023,8,5,5363,2682,56312,2682,61676
163,Vijay,Female,29,Bangalore,Finance,42930,09-01-2024,11,1,4293,2146,45077,2146,49369
164,Karthik,Male,60,Bangalore,Finance,38509,06-04-2023,11,4,3851,1925,40435,1925,44285
165,Vijay,Female,33,Bangalore,IT,88764,20-02-2023,16,1,8876,4438,93202,4438,102078
166,Karthik,Female,42,Mumbai,Support,53332,16-07-2022,7,3,5333,2667,55998,2667,61332
167,Suresh,Male,45,Chennai,IT,91411,18-07-2023,2,1,9141,4571,95981,0,100552
168,Sneha,Male,30,Chennai,Sales,68770,19-06-2024,16,2,6877,3438,72209,3438,79085
169,Vijay,Male,45,Mumbai,Finance,52750,02-06-2024,14,1,5275,2638,55387,2638,60663
170,Sneha,Female,55,Hyderabad,Support,73358,21-04-2023,18,5,7336,3668,77026,3668,84362
171,Meena,Male,53,Mumbai,HR,63542,10-09-2022,14,4,6354,3177,66719,3177,73073
172,Arun,Female,58,Bangalore,Finance,86552,30-05-2024,14,1,8655,4328,90879,4328,99535
173,Priya,Female,43,Delhi,IT,88354,15-11-2022,1,5,8835,4418,92771,0,97189
174,Priya,Male,30,Delhi,IT,65576,14-11-2023,20,3,6558,3279,68855,3279,75413
175,Suresh,Female,55,Mumbai,Support,59483,22-06-2024,17,5,5948,2974,62457,2974,68405
176,Vijay,Male,32,Chennai,Finance,21684,01-09-2022,10,3,2168,1084,22768,1084,24936
177,Rahul,Male,55,Chennai,IT,44289,01-09-2024,17,3,4429,2214,46504,2214,50932
178,Suresh,Male,44,Bangalore,Support,79398,22-10-2022,12,2,7940,3970,83368,3970,91308
179,Rahul,Male,41,Mumbai,Finance,27104,14-05-2024,10,4,2710,1355,28459,1355,31169
180,Anjali,Female,56,Bangalore,Finance,27481,09-09-2022,19,5,2748,1374,28855,1374,31603
181,Anjali,Male,53,Bangalore,Sales,80810,24-04-2022,4,1,8081,4040,84851,0,88891
182,Sneha,Male,36,Bangalore,Sales,94873,08-06-2024,15,2,9487,4744,99616,4744,109104
183,Suresh,Male,32,Hyderabad,Sales,42075,14-05-2024,5,1,4208,2104,44179,0,46283
184,Sneha,Female,60,Delhi,HR,64236,19-03-2023,9,2,6424,3212,67448,3212,73872
185,Rahul,Male,33,Chennai,Finance,81205,04-07-2024,13,5,8120,4060,85265,4060,93385
186,Vijay,Male,46,Delhi,IT,75571,30-06-2022,19,3,7557,3779,79349,3779,86907
187,Arun,Female,56,Chennai,Sales,56155,01-02-2024,2,4,5616,2808,58963,0,61771
188,Priya,Male,50,Bangalore,IT,39989,01-07-2024,6,5,3999,1999,41989,1999,45987
189,Anjali,Female,24,Chennai,Support,23423,05-10-2023,5,1,2342,1171,24594,0,25765
190,Arun,Female,24,Mumbai,Support,53868,03-09-2022,17,1,5387,2693,56562,2693,61948
191,Sneha,Male,28,Chennai,Finance,50800,19-09-2024,13,5,5080,2540,53340,2540,58420
192,Sneha,Female,38,Chennai,Finance,71601,04-12-2022,1,5,7160,3580,75181,0,78761
193,Rahul,Female,36,Delhi,HR,82894,25-12-2022,3,4,8289,4145,87038,0,91183
194,Karthik,Female,34,Delhi,IT,81139,10-01-2023,7,1,8114,4057,85196,4057,93310
195,Karthik,Female,24,Delhi,IT,23767,25-12-2022,7,4,2377,1188,24956,1188,27332
196,Meena,Female,36,Mumbai,Finance,28649,02-06-2022,18,3,2865,1432,30082,1432,32946
197,Vijay,Male,59,Mumbai,HR,27167,25-09-2022,16,4,2717,1358,28526,1358,31242
198,Divya,Male,55,Mumbai,Sales,20350,11-09-2024,4,4,2035,1018,21367,0,22385
199,Divya,Male,33,Mumbai,Finance,94079,24-03-2023,14,4,9408,4704,98783,4704,108191
200,Vijay,Male,38,Hyderabad,Support,37381,09-12-2023,4,4,3738,1869,39250,0,41119
201,Vijay,Female,51,Chennai,Sales,84260,05-08-2023,11,4,8426,4213,88473,4213,96899
202,Anjali,Female,52,Chennai,Finance,86975,15-07-2022,9,1,8698,4349,91324,4349,100022
203,Divya,Female,47,Chennai,IT,98011,09-07-2023,12,5,9801,4901,102911,4901,112713
204,Karthik,Female,49,Delhi,Finance,74706,04-11-2022,16,4,7471,3735,78442,3735,85912
205,Arun,Male,36,Mumbai,IT,96260,18-09-2024,1,4,9626,4813,101073,0,105886
206,Anjali,Female,51,Mumbai,HR,29275,04-04-2024,16,3,2928,1464,30739,1464,33667
207,Karthik,Male,24,Mumbai,Sales,77541,22-12-2022,16,3,7754,3877,81418,3877,89172
208,Divya,Female,39,Mumbai,Support,68505,05-06-2022,16,5,6850,3425,71930,3425,78780
209,Vijay,Female,27,Hyderabad,HR,98066,12-07-2022,3,2,9807,4903,102970,0,107873
210,Sneha,Male,22,Delhi,Sales,79600,02-10-2022,19,5,7960,3980,83580,3980,91540
211,Suresh,Female,44,Delhi,Finance,88082,27-03-2024,11,5,8808,4404,92486,4404,101294
212,Suresh,Male,24,Delhi,Support,89679,15-04-2022,6,2,8968,4484,94163,4484,103131
213,Vijay,Female,28,Delhi,HR,91815,19-03-2023,9,3,9182,4591,96406,4591,105588
214,Priya,Male,47,Bangalore,Finance,90463,17-04-2022,8,1,9046,4523,94986,4523,104032
215,Rahul,Male,25,Chennai,IT,78567,24-11-2022,8,1,7857,3928,82496,3928,90352
216,Sneha,Female,54,Bangalore,IT,95538,26-06-2022,7,4,9554,4777,100315,4777,109869
217,Suresh,Male,37,Delhi,IT,36945,19-01-2024,12,3,3694,1847,38792,1847,42486
218,Rahul,Female,26,Chennai,Support,50755,21-10-2023,18,5,5076,2538,53293,2538,58369
219,Suresh,Male,60,Hyderabad,IT,35163,04-04-2023,17,3,3516,1758,36921,1758,40437
220,Priya,Male,43,Chennai,HR,68989,17-02-2022,2,4,6899,3449,72439,0,75888
221,Arun,Female,45,Chennai,Support,28098,30-09-2023,17,5,2810,1405,29503,1405,32313
222,Priya,Female,43,Hyderabad,IT,26541,15-11-2022,15,5,2654,1327,27868,1327,30522
223,Sneha,Male,41,Mumbai,Finance,61019,05-11-2023,1,1,6102,3051,64070,0,67121
224,Sneha,Female,23,Mumbai,HR,26521,10-09-2022,18,5,2652,1326,27847,1326,30499
225,Divya,Female,57,Chennai,Support,24040,23-05-2023,6,1,2404,1202,25242,1202,27646
226,Vijay,Female,45,Hyderabad,Finance,22557,14-11-2022,8,2,2256,1128,23685,1128,25941
227,Divya,Male,35,Delhi,Finance,99638,05-02-2024,13,5,9964,4982,104620,4982,114584
228,Sneha,Male,29,Chennai,Sales,25710,06-08-2022,9,3,2571,1286,26995,1286,29567
229,Meena,Female,24,Bangalore,HR,59078,16-11-2023,9,2,5908,2954,62032,2954,67940
230,Meena,Female,58,Bangalore,HR,60541,09-12-2023,12,3,6054,3027,63568,3027,69622
231,Priya,Female,25,Bangalore,Support,85950,01-10-2022,7,5,8595,4298,90247,4298,98843
232,Arun,Male,43,Hyderabad,IT,80184,22-05-2023,9,1,8018,4009,84193,4009,92211
233,Suresh,Male,54,Hyderabad,Support,42306,02-05-2023,4,3,4231,2115,44422,0,46537
234,Anjali,Male,46,Mumbai,Finance,44442,30-10-2022,18,2,4444,2222,46664,2222,51108
235,Divya,Female,43,Chennai,IT,23112,17-01-2022,16,3,2311,1156,24267,1156,26579
236,Priya,Female,54,Mumbai,Support,49875,12-08-2022,10,5,4988,2494,52369,2494,57357
237,Karthik,Male,36,Mumbai,Support,71058,22-03-2022,8,4,7106,3553,74611,3553,81717
238,Divya,Male,59,Delhi,Sales,83759,21-08-2022,8,5,8376,4188,87947,4188,96323
239,Divya,Female,42,Bangalore,IT,86709,09-06-2022,1,4,8671,4335,91045,0,95380
240,Rahul,Male,44,Mumbai,Finance,89358,26-05-2023,16,5,8936,4468,93826,4468,102762
241,Priya,Female,53,Mumbai,Support,75566,16-03-2023,19,3,7557,3778,79345,3778,86901
242,Arun,Male,50,Bangalore,HR,60081,16-08-2024,9,3,6008,3004,63085,3004,69093
243,Vijay,Male,37,Delhi,IT,93487,06-04-2022,11,1,9349,4674,98162,4674,107510
244,Sneha,Female,44,Bangalore,IT,28764,18-06-2022,14,1,2876,1438,30202,1438,33078
245,Priya,Female,59,Chennai,Support,27980,13-10-2023,4,3,2798,1399,29379,0,30778
246,Arun,Female,42,Delhi,IT,56592,16-03-2024,1,2,5659,2830,59421,0,62251
247,Rahul,Female,59,Mumbai,HR,66244,07-09-2024,12,4,6624,3312,69556,3312,76180
248,Meena,Female,58,Hyderabad,Sales,37394,26-05-2024,17,4,3739,1870,39263,1870,43003
249,Divya,Male,48,Delhi,Support,62308,08-07-2022,4,3,6231,3115,65424,0,68539
250,Arun,Female,28,Delhi,HR,45035,14-08-2024,18,1,4504,2252,47287,2252,51791
251,Sneha,Male,46,Chennai,IT,91821,04-08-2024,4,5,9182,4591,96412,0,101003
252,Suresh,Male,47,Chennai,IT,45361,06-02-2023,8,1,4536,2268,47629,2268,52165
253,Anjali,Male,22,Hyderabad,Sales,78329,23-06-2024,19,3,7833,3916,82246,3916,90078
254,Arun,Female,56,Bangalore,HR,32823,13-01-2024,14,3,3282,1641,34464,1641,37746
255,Priya,Male,24,Delhi,Sales,83100,25-02-2023,12,2,8310,4155,87255,4155,95565
256,Rahul,Male,50,Chennai,Sales,57207,27-02-2022,5,4,5721,2860,60068,0,62928
257,Suresh,Female,27,Bangalore,Support,43960,19-03-2022,3,1,4396,2198,46158,0,48356
258,Rahul,Female,59,Bangalore,Support,90018,18-12-2022,6,1,9002,4501,94519,4501,103521
259,Karthik,Male,46,Hyderabad,IT,94684,26-01-2023,20,1,9468,4734,99418,4734,108886
260,Rahul,Female,48,Bangalore,Support,73525,30-04-2023,12,5,7352,3676,77201,3676,84553
261,Karthik,Male,42,Hyderabad,IT,57655,21-08-2022,19,3,5766,2883,60538,2883,66304
262,Vijay,Male,55,Hyderabad,Sales,91427,25-04-2024,19,4,9143,4571,95999,4571,105141
263,Suresh,Male,49,Hyderabad,IT,79652,20-02-2024,10,1,7965,3983,83634,3983,91600
264,Karthik,Female,35,Bangalore,HR,84528,20-09-2022,15,5,8453,4226,88755,4226,97207
265,Divya,Male,36,Mumbai,Sales,71000,08-06-2022,2,4,7100,3550,74550,0,78100
266,Sneha,Male,44,Hyderabad,Sales,60903,24-02-2024,8,5,6090,3045,63948,3045,70038
267,Karthik,Female,55,Hyderabad,Finance,20793,02-03-2022,19,5,2079,1040,21832,1040,23912
268,Arun,Male,55,Hyderabad,Sales,53628,10-12-2023,16,1,5363,2681,56310,2681,61672
269,Suresh,Male,46,Mumbai,Support,57526,11-01-2022,10,5,5753,2876,60403,2876,66155
270,Arun,Female,26,Delhi,IT,60074,03-12-2023,6,2,6007,3004,63077,3004,69085
271,Priya,Male,58,Bangalore,IT,30995,09-04-2024,8,5,3100,1550,32545,1550,35645
272,Rahul,Male,50,Hyderabad,Finance,53883,21-03-2022,15,4,5388,2694,56577,2694,61965
273,Meena,Female,25,Delhi,HR,76016,13-01-2023,6,5,7602,3801,79817,3801,87419
274,Karthik,Female,30,Bangalore,Support,86597,14-01-2024,2,1,8660,4330,90927,0,95257
275,Arun,Male,21,Chennai,IT,77341,17-05-2022,10,4,7734,3867,81208,3867,88942
276,Arun,Female,50,Delhi,IT,91636,03-04-2023,1,1,9164,4582,96218,0,100800
277,Rahul,Male,33,Hyderabad,Finance,25558,01-01-2022,8,5,2556,1278,26836,1278,29392
278,Anjali,Male,50,Delhi,Finance,52656,21-08-2024,19,1,5266,2633,55289,2633,60555
279,Karthik,Female,37,Bangalore,Sales,27388,16-01-2024,6,3,2739,1369,28758,1369,31496
